English;cleanedEnglish;Positiv;Negativ;Wut;Vorfreude;Ekel;Furcht;Freude;Traurigkeit;Ueberraschung;Vertrauen;;;;;;;;;;
Respektlosigkeit;Respektlosigkeit;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
respektlos;respektlos;0;1;1;0;1;1;0;1;0;0;;;;;;;;;;
Störung;Stoerung;0;1;1;0;0;1;0;0;1;0;;;;;;;;;;
Unzufriedenheit;Unzufriedenheit;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
unzufrieden;unzufrieden;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
sezieren;sezieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Präparation;Praeparation;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;
verbreiten;verbreiten;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Verbreitung;Verbreitung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Uneinigkeit;Uneinigkeit;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
Dissens;Dissens;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
abweichend;abweichend;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Dissertation;Dissertation;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Bärendienst;Baerendienst;0;1;1;0;1;0;0;1;0;0;;;;;;;;;;
Dissident;Dissident;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
unähnlich;unaehnlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zerstreuen;zerstreuen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zerstreut;zerstreut;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dissoziation;Dissoziation;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Auflösung;Aufloesung;0;1;1;0;0;1;0;1;1;0;;;;;;;;;;
sich auflösen;sich aufloesen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dissonanz;Dissonanz;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
abbringen;abbringen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
distal;distal;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Distanz;Distanz;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
entfernt;entfernt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abneigung;Abneigung;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
geschmacklos;geschmacklos;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
Destillat;Destillat;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Destillation;Destillation;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Unterscheidung;Unterscheidung;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
unverwechselbar;unverwechselbar;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
unterscheiden;unterscheiden;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
unterscheidbar;unterscheidbar;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ausgezeichnet;ausgezeichnet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
unterscheiden;unterscheiden;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verzerrt;verzerrt;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
Verzerrung;Verzerrung;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
ablenken;ablenken;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
abgelenkt;abgelenkt;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
ablenkend;ablenkend;0;1;1;1;0;0;0;0;0;0;;;;;;;;;;
Ablenkung;Ablenkung;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
verstört;verstoert;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Not;Not;0;1;1;0;1;1;0;1;1;0;;;;;;;;;;
betrübt;betruebt;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
beunruhigend;beunruhigend;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
verteilen;verteilen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Verteilung;Verteilung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Bezirk;Bezirk;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Misstrauen;Misstrauen;0;1;1;0;1;1;0;0;0;0;;;;;;;;;;
Störung;Stoerung;0;1;1;0;0;1;0;1;1;0;;;;;;;;;;
gestört;gestoert;0;1;1;0;0;0;0;1;0;0;;;;;;;;;;
Nichtgebrauch;Nichtgebrauch;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
stillgelegt;stillgelegt;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
Graben;Graben;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dito;dito;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Liedchen;Liedchen;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;
täglich;taeglich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Diwan;Diwan;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
tauchen tauchen;tauchen tauchen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Taucher;Taucher;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
divergieren;divergieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abweichungen;Abweichungen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
abweichend;abweichend;0;1;0;0;0;0;0;0;1;0;;;;;;;;;;
Tauchen;Tauchen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Taucher;Taucher;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
vielfältig;vielfaeltig;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
diversifiziert;diversifiziert;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
diversifizieren;diversifizieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Umleitung;Umleitung;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;
Diversität;Diversitaet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
umleiten;umleiten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ablenken;ablenken;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
veräußern;veraeußern;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
veräußert;veraeußert;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Veräußerung;Veraeußerung;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
teilen;teilen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
geteilt;geteilt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dividende;Dividende;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Divination;Divination;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;
göttlich;goettlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Diversität;Diversitaet;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
teilbar;teilbar;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aufteilung;Aufteilung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Divisor;Divisor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Scheidung;Scheidung;0;1;1;0;1;1;0;1;1;1;;;;;;;;;;
preisgeben;preisgeben;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schwindel;Schwindel;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
schwindlig;schwindlig;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
fügsam;fuegsam;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dock;Dock;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
angedockt;angedockt;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Laufzettel;Laufzettel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Arzt;Arzt;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Lehre;Lehre;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Lehre;Lehre;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
dokumentieren;dokumentieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dokumentarfilm;Dokumentarfilm;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ausweichen;ausweichen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ausweichen;ausweichen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Damhirschkuh;Damhirschkuh;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Macher;Macher;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Hund;Hund;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
hartnäckig;hartnaeckig;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dogma;Dogma;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
dogmatisch;dogmatisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Taten;Taten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Tu es;Tu es;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
alte Rums;alte Rums;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Arbeitslosengeld;Arbeitslosengeld;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Puppe;Puppe;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;
Dollar;Dollar;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dolor;dolor;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Delfin;Delfin;1;0;0;0;0;0;1;0;1;1;;;;;;;;;;
Domain;Domain;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Kuppel;Kuppel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
inländisch;inlaendisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
häuslich;haeuslich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Domestizierung;Domestizierung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Domizil;Domizil;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ansässig;ansaessig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dominanz;Dominanz;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dominant;Dominant;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
dominieren;dominieren;1;1;1;0;0;1;0;0;0;0;;;;;;;;;;
dominierend;dominierend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Herrschaft;Herrschaft;0;1;1;0;0;1;0;1;0;0;;;;;;;;;;
Herrschaft;Herrschaft;0;0;0;0;0;1;0;0;0;1;;;;;;;;;;
Domino;Domino;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
nicht;nicht;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Spende;Spende;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Esel;Esel;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
Spender;Spender;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Gekritzel;Gekritzel;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Untergang;Untergang;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
zum Scheitern verurteilt;zum Scheitern verurteilt;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
Weltuntergang;Weltuntergang;0;1;1;1;1;1;0;1;0;0;;;;;;;;;;
Tür;Tuer;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Türklingel;Tuerklingel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Tür;Tuer;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ruhend;ruhend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schlafsaal;Schlafsaal;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dorsal;dorsal;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dosis;Dosis;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Punkt;Punkt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
doppelt;doppelt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verdoppelt;verdoppelt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wams;Wams;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Verdoppelung;Verdoppelung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zweifel;Zweifel;0;1;0;0;0;1;0;1;0;1;;;;;;;;;;
zweifelhaft;zweifelhaft;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
zweifeln;zweifeln;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
zweifellos;zweifellos;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Dusche;Dusche;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Teig;Teig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Krapfen;Krapfen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
mürrisch;muerrisch;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Taube;Taube;1;0;0;1;0;0;1;0;0;1;;;;;;;;;;
niedergeschlagen;niedergeschlagen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Untergang;Untergang;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
bergab;bergab;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Platzregen;Platzregen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
regelrecht;regelrecht;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
flaumig;flaumig;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Mitgift;Mitgift;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dösen;doesen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dutzend;Dutzend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
eintönig;eintoenig;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Entwurf;Entwurf;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;
ziehen;ziehen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Drachen;Drachen;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;
Abfluss;Abfluss;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Drainage;Drainage;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
entwässert;entwaessert;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Erpel;Erpel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Theater;Theater;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dramatisch;dramatisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
drapieren;drapieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Vorhang;Vorhang;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
drastisch;drastisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Entwurf;Entwurf;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zeichnen;zeichnen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verstört;verstoert;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Schublade;Schublade;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schubladen;Schubladen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zeichnung;Zeichnung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Furcht;Furcht;0;1;0;1;0;1;0;0;0;0;;;;;;;;;;
furchtbar;furchtbar;0;1;1;1;1;1;0;1;0;0;;;;;;;;;;
schrecklich;schrecklich;0;1;0;0;1;1;0;1;1;0;;;;;;;;;;
Traum;Traum;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Träumer;Traeumer;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
träumend;traeumend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verträumt;vertraeumt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
trist;trist;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
baggern;baggern;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
durchnässt;durchnaesst;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Kommode;Kommode;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dribbeln;dribbeln;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
getrocknet;getrocknet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wäschetrockner;Waeschetrockner;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Drift;Drift;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
trieb;trieb;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
bohren;bohren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Getränk;Getraenk;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Trinken;Trinken;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
tropfen;tropfen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
tropft;tropft;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Gefasel;Gefasel;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
Treiber;Treiber;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Auffahrt;Auffahrt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Nieselregen;Nieselregen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
drollig;drollig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Drohne;Drohne;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
sabbern;sabbern;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;
hängend;haengend;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
fallen;fallen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Tröpfchen;Troepfchen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dürre;Duerre;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Gefahren;Gefahren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ertrinken;ertrinken;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
Schläfrigkeit;Schlaefrigkeit;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
schläfrig;schlaefrig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Plackerei;Plackerei;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Arzneimittel;Arzneimittel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
betäubt;betaeubt;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;
Drogerie;Drogerie;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Druide;Druide;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Trommel;Trommel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schlagzeuger;Schlagzeuger;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Trommeln;Trommeln;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
betrunken;betrunken;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
Trunkenheit;Trunkenheit;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
trocken;trocken;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Trockenheit;Trockenheit;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dual;Dual;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dualismus;Dualismus;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dualität;Dualitaet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
überspielen;ueberspielen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zweifelhaft;zweifelhaft;0;1;0;0;0;1;0;0;0;1;;;;;;;;;;
ducken;ducken;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Leitung;Leitung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dehnbar;dehnbar;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Typen;Typen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
fällig;faellig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Duell;Duell;0;0;1;1;0;1;0;0;0;0;;;;;;;;;;
Gebühren;Gebuehren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Duett;Duett;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Einbaum;Einbaum;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Herzog;Herzog;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
langweilig langweilig;langweilig langweilig;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Dumm;Dumm;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Attrappe;Attrappe;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
entsorgen;entsorgen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Deponien;Deponien;0;1;1;0;0;0;0;1;0;0;;;;;;;;;;
Dun;Dun;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Düne;Duene;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dung;Dung;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;
Verlies;Verlies;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
Duo;Duo;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
betrügen;betruegen;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
Duplex;Duplex;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Duplikat;Duplikat;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Vervielfältigung;Vervielfaeltigung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Duplizität;Duplizitaet;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
Haltbarkeit;Haltbarkeit;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
dauerhaft;dauerhaft;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Dauer;Dauer;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zwang;Zwang;0;1;1;0;1;1;0;1;0;0;;;;;;;;;;
Dämmerung;Daemmerung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
düster;duester;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Staub;Staub;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Staubtuch;Staubtuch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
staubig;staubig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
pflichtbewusst;pflichtbewusst;1;0;0;1;0;0;0;0;0;1;;;;;;;;;;
Zwerg;Zwerg;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
in den Schatten gestellt;in den Schatten gestellt;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
verweilen;verweilen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Bewohner;Bewohner;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wohnung;Wohnung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Farbstoff;Farbstoff;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Absterben;Absterben;0;1;1;0;1;1;0;1;0;0;;;;;;;;;;
Deich;Deich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
dynamisch;dynamisch;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;
dynamisch;dynamisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dynamik;Dynamik;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dynamit;Dynamit;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Dynastie;Dynastie;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ruhr;Ruhr;0;1;0;0;1;0;0;1;0;0;;;;;;;;;;
Dyspepsie;Dyspepsie;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
erpicht;erpicht;1;0;0;1;0;0;1;0;1;1;;;;;;;;;;
Eifer;Eifer;1;0;0;1;0;0;1;0;0;1;;;;;;;;;;
Adler;Adler;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Ohr;Ohr;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Graf;Graf;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
vorhin;vorhin;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
frühzeitig;fruehzeitig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verdienen verdienen;verdienen verdienen;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ernst;Ernst;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ernsthaft;ernsthaft;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ernst;Ernst;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Verdienste;Verdienste;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ohrring;Ohrring;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Hörweite;Hoerweite;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Erde;Erde;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Steingut;Steingut;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
irdisch;irdisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Erdbeben;Erdbeben;0;1;1;0;0;1;0;1;1;0;;;;;;;;;;
erdig;erdig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Leichtigkeit;Leichtigkeit;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Staffelei;Staffelei;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Erleichterung;Erleichterung;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
leicht;leicht;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
einfach;einfach;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
unbeschwerte;unbeschwerte;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Essen;Essen;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Essen;Essen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
lauschen;lauschen;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Ebbe;Ebbe;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ebenholz;Ebenholz;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Exzenter;Exzenter;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Exzentrizität;Exzentrizitaet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
kirchlich;kirchlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Echo;Echo;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
eklektisch;eklektisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Finsternis;Finsternis;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ekliptik;Ekliptik;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
wirtschaftlich;wirtschaftlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wirtschaft;Wirtschaft;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wirtschaft;Wirtschaft;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Ekstase;Ekstase;1;0;0;1;0;0;1;0;0;0;;;;;;;;;;
begeistert;begeistert;1;0;0;1;0;0;1;0;1;0;;;;;;;;;;
ökumenisch;oekumenisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wirbel;Wirbel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Kante;Kante;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Kanten;Kanten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
