Englisch;Positiv;Negativ;Wut;Vorwegnahme;Der Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
Eroberer;0;0;0;0;0;0;0;0;0;0
Eroberung;0;1;1;0;0;1;0;0;0;0
Gewissen;1;0;0;0;0;0;0;0;0;1
gewissenhaft;1;0;0;0;0;0;0;0;0;1
Bewusstsein;1;0;0;0;0;0;0;0;0;0
Abonnement;0;0;0;0;0;0;0;0;0;0
Weihe;1;0;0;1;0;0;1;1;0;1
aufeinanderfolgenden;0;0;0;0;0;0;0;0;0;0
Zustimmung;0;0;0;0;0;0;0;0;0;0
Zustimmung;0;0;0;0;0;0;0;0;0;0
Folge;0;0;0;0;0;0;0;0;0;0
konsequent;0;0;0;1;0;0;0;0;0;0
Erhaltung;1;0;0;1;0;0;0;0;0;1
Konservatismus;0;0;0;0;0;0;0;0;0;0
konservativ;0;0;0;0;0;0;0;0;0;0
Wintergarten;0;0;0;0;0;0;0;0;0;0
sparen;1;0;0;0;0;0;0;0;0;0
beträchtlich;1;0;0;0;0;0;0;0;0;0
rücksichtsvoll;1;0;0;0;0;0;0;0;0;1
Empfänger;0;0;0;0;0;0;0;0;0;0
Sendung;0;0;0;0;0;0;0;0;0;0
Konsistenz;1;0;0;0;0;0;0;0;0;1
konsistent;0;0;0;0;0;0;0;0;0;0
Trost;0;0;0;0;0;0;0;0;0;0
Konsole;1;0;0;0;0;0;0;1;0;0
konsolidieren;0;0;0;0;0;0;0;0;0;0
Konsolidierung;0;0;0;0;0;0;0;0;0;0
Konsonant;1;0;0;0;0;0;0;0;0;0
Gemahlin;0;0;0;0;0;0;0;0;0;1
auffällig;0;0;0;0;0;0;0;0;0;0
Verschwörung;0;0;0;0;0;1;0;0;0;0
Verschwörer;0;1;1;1;1;1;0;0;0;0
verschwören;0;1;0;0;0;1;0;0;0;0
Polizist;0;0;0;0;0;0;0;0;0;1
Konstanz;1;0;0;0;0;0;0;0;0;1
Konstante;1;0;0;0;0;0;0;0;0;1
ständig;0;0;0;0;0;0;0;0;0;1
Konstellation;0;0;0;0;0;0;0;0;0;0
Bestürzung;0;1;1;0;0;1;0;0;0;0
Verstopfung;0;1;0;0;1;0;0;0;0;0
Bestandteil;0;0;0;0;0;0;0;0;0;0
Bestandteile;0;0;0;0;0;0;0;0;0;0
bilden;0;0;0;0;0;0;0;0;0;1
Verfassung;0;0;0;0;0;0;0;0;0;0
verfassungsrechtlich;1;0;0;0;0;0;0;0;0;1
Verfassungsmäßigkeit;0;0;0;0;0;0;0;0;0;0
Zwang;0;1;0;0;0;1;0;0;0;0
eingeschränkt;0;1;0;0;0;0;0;0;0;0
Zwang;0;1;1;0;0;1;0;1;0;0
konstruieren;1;0;0;0;0;0;0;0;0;0
Konstruktion;0;0;0;0;0;0;0;0;0;0
konstruieren;0;0;0;0;0;0;0;0;0;0
Konsul;0;0;0;0;0;0;0;0;0;1
konsultieren;0;0;0;0;0;0;0;0;0;1
Beratungsgespräch;0;0;0;0;0;0;0;0;0;0
verbrauchen;0;0;0;0;0;0;0;0;0;0
verbrauchen;0;0;0;0;0;0;0;0;0;0
vollendet;1;0;0;0;0;0;0;0;0;0
Vollendung;0;0;0;0;0;0;0;0;0;0
Verbrauch;0;0;0;0;0;0;0;0;0;0
Kontakt;1;0;0;0;0;0;0;0;0;0
Ansteckung;0;1;0;1;1;1;0;0;0;0
ansteckend;0;1;0;0;1;1;0;0;0;0
Eindämmung;0;0;0;0;0;0;0;0;0;0
verunreinigen;0;1;0;0;1;0;0;0;0;0
kontaminiert;0;1;0;0;1;1;0;1;0;0
Kontamination;0;1;0;0;1;0;0;0;0;0
betrachten;0;0;0;0;0;0;0;0;0;0
Betrachtung;1;0;0;0;0;0;0;0;0;0
nachdenklich;0;0;0;0;0;0;0;0;0;0
gleichzeitig;0;0;0;0;0;0;0;0;0;0
zeitgenössisch;0;0;0;0;0;0;0;0;0;0
Verachtung;0;1;1;0;1;1;0;0;0;0
verächtlich;0;1;1;0;1;0;0;0;0;0
verächtlich;0;1;1;0;0;0;0;0;0;0
streiten;0;0;0;0;0;0;0;0;0;0
Inhalt;1;0;0;0;0;0;1;0;0;1
Streit;0;0;0;0;0;0;0;0;0;0
umstritten;0;1;1;0;1;1;0;0;0;0
Inhalt;0;0;0;0;0;0;0;0;0;0
Kontext;0;0;0;0;0;0;0;0;0;0
zusammenhängend;0;0;0;0;0;0;0;0;0;0
Kontinenz;0;0;0;0;0;0;0;0;0;0
Kontinent;0;0;0;0;0;0;0;0;0;0
kontinental;0;0;0;0;0;0;0;0;0;0
Kontingenz;0;0;0;0;0;0;0;0;0;0
Kontingent;0;0;0;1;0;0;0;0;0;0
kontinuierlich;0;0;0;0;0;0;0;0;0;0
ständig;0;0;0;0;0;0;0;0;0;0
Kontinuität;0;0;0;0;0;0;0;0;0;0
Fortsetzung;0;0;0;1;0;0;0;0;0;0
fortsetzen;1;0;0;1;0;0;0;0;0;1
fortgesetzt;0;0;0;0;0;0;0;0;0;0
auch weiterhin;0;0;0;0;0;0;0;0;0;0
Kontinuität;0;0;0;0;0;0;0;0;0;0
kontinuierlich;0;0;0;0;0;0;0;0;0;0
ständig;0;0;0;0;0;0;0;0;0;0
Kontur;1;0;0;0;0;0;0;0;0;0
Schmuggelware;0;1;1;0;1;1;0;0;0;0
Vertrag;0;0;0;0;0;0;0;0;0;0
Vertrag abgeschlossen;0;1;0;0;0;0;0;0;0;0
kontraktil;0;0;0;0;0;0;0;0;0;0
Vertragsabschluss;0;0;0;0;0;0;0;0;0;0
Kontraktion Kontraktion;0;0;0;0;0;0;0;0;0;0
widersprechen;0;1;1;0;0;0;0;0;0;0
Apparat;0;1;0;0;0;0;0;0;0;0
widersprüchlich;0;1;0;0;0;0;0;0;0;0
Gegenteil;0;1;0;0;0;0;0;0;0;0
Kontrast;0;0;0;0;0;0;0;0;0;0
kontrastiert;0;1;0;0;0;0;0;0;0;0
verstoßen;0;1;0;0;0;0;0;0;0;0
Zuwiderhandlung;0;1;0;0;0;0;0;0;0;0
beitragen;1;0;0;0;0;0;0;0;0;0
Mitwirkender;1;0;0;0;0;0;0;0;0;1
gekünstelt;0;0;0;0;0;0;0;0;0;0
Kontrolle;0;0;0;0;0;0;0;0;0;0
umstritten;0;1;1;0;0;0;0;0;0;0
Kontroverse;0;1;0;0;0;0;0;0;0;0
Rätsel;0;0;0;0;0;0;0;0;0;0
Rekonvaleszent;0;0;0;0;0;0;0;0;0;0
Konvektion;0;0;0;0;0;0;0;0;0;0
einberufen;0;0;0;0;0;0;0;0;0;0
Bequemlichkeit;1;0;0;0;0;0;0;0;0;0
Bequemlichkeiten;0;0;0;0;0;0;0;0;0;0
praktisch;1;0;0;0;0;0;0;0;0;0
Kloster;1;0;0;0;0;0;0;0;0;1
Konvention;1;0;0;0;0;0;0;0;0;0
konventionell;0;0;0;0;0;0;0;0;0;0
konvergieren;0;0;0;0;0;0;0;0;0;0
Konvergenz;0;0;0;1;0;0;0;0;0;0
konvergent;0;0;0;0;0;0;0;0;0;0
vertraut;1;0;0;0;0;0;0;0;0;0
Gespräch;0;0;0;0;0;0;0;0;0;0
gesprächig;1;0;0;0;0;0;0;0;0;0
unterhalten;0;0;0;0;0;0;0;0;0;0
unterhalten;0;0;0;0;0;0;0;0;0;0
Wandlung;0;0;0;0;0;0;0;0;0;0
Konvertieren;1;0;0;0;0;0;0;0;0;0
umgewandelt;0;0;0;0;0;0;0;0;0;0
Cabrio;0;0;0;0;0;0;0;0;0;0
konvex;0;0;0;0;0;0;0;0;0;0
Konvexität;0;0;0;0;0;0;0;0;0;0
vermitteln;0;0;0;0;0;0;0;0;0;0
Beförderung;0;0;0;0;0;0;0;0;0;0
Vermittlung;0;0;0;0;0;0;0;0;0;1
Sträfling;0;1;1;0;1;1;0;1;0;0
Überzeugung;0;1;0;0;0;0;0;0;0;0
überzeugen;1;0;0;1;0;0;0;0;0;1
überzeugt;0;0;0;0;0;0;0;0;0;1
überzeugend;0;0;0;0;0;0;0;0;0;1
Einberufung;0;0;0;0;0;0;0;0;0;0
gewunden;0;0;0;0;0;0;0;0;0;0
Faltung;0;0;0;0;0;0;0;0;0;0
Konvoi;0;0;0;0;0;0;0;0;0;0
gurren;0;0;0;0;0;0;0;0;0;0
Koch;0;0;0;0;0;0;0;0;0;0
Kochen;0;0;0;0;0;0;0;0;0;0
Kochen;0;0;0;0;0;0;0;0;0;0
Kalt;1;0;0;0;0;0;0;0;0;0
Kühler;0;0;0;0;0;0;0;0;0;0
Kühlung;0;0;0;0;0;0;0;0;0;0
Kühle;1;0;0;0;0;0;0;0;0;0
Koop;0;1;1;0;1;0;0;0;0;0
kooperieren;1;0;0;0;0;0;0;0;0;0
kooperieren;1;0;0;0;0;0;0;0;0;1
Zusammenarbeit;1;0;0;0;0;0;0;0;0;1
kooperativ;1;0;0;0;0;0;0;0;0;1
Koordinate;0;0;0;0;0;0;0;0;0;0
Polizist;0;0;0;0;0;1;0;0;0;1
reichlich;0;0;0;0;0;0;0;0;0;0
Kupfer;0;0;0;0;0;0;0;0;0;0
Kopieren;0;1;0;0;0;0;0;0;0;0
Nachahmer;0;1;1;0;1;0;0;0;0;0
Kopieren;0;0;0;0;0;0;0;0;0;0
Urheberrechte ©;0;0;0;0;0;0;0;0;0;0
Koralle;0;0;0;0;0;0;0;0;0;0
Kabel;0;0;0;0;0;0;0;0;0;0
Kordon;0;0;0;0;0;0;0;0;0;0
Cord;0;0;0;0;0;0;0;0;0;0
Ader;1;0;0;0;0;0;0;0;0;0
Kork;0;0;0;0;0;0;0;0;0;0
Korkenzieher;0;0;0;0;0;0;0;0;0;0
Mais;0;0;0;0;0;0;0;0;0;0
Hornhaut;0;0;0;0;0;0;0;0;0;0
Ecke;0;0;0;0;0;0;0;0;0;0
Kornett;0;0;0;0;0;0;0;0;0;0
Gesims;0;0;0;0;0;0;0;0;0;0
Maisstärke;0;0;0;0;0;0;0;0;0;0
logische Folge;0;0;0;0;0;0;0;0;0;0
Corona;0;0;0;0;0;0;0;0;0;0
Krönung;1;0;0;0;0;0;1;0;0;1
Gerichtsmediziner;0;1;0;0;0;0;0;0;0;0
Unternehmen;0;1;0;0;0;0;0;0;0;0
Unternehmen;0;0;0;0;0;0;0;0;0;0
Konzern;1;0;0;0;0;0;0;0;0;1
körperlich;1;0;0;0;0;0;0;0;0;0
Korps;0;0;0;0;0;0;0;0;0;0
Leichnam;0;1;0;0;1;0;0;1;0;0
Korpus;0;0;0;0;0;0;0;0;0;0
Gehege;0;0;0;0;0;0;0;0;0;0
Korrektur;0;1;0;0;0;0;0;0;0;0
Korrektiv;1;0;0;0;0;0;0;0;0;0
Richtigkeit;0;0;0;0;0;0;0;0;0;1
Korrelation;0;0;0;0;0;0;0;0;0;0
Korrelat;0;0;0;0;0;0;0;0;0;0
entsprechen;0;0;0;0;0;0;0;0;0;0
Korrespondenz;1;0;0;1;0;0;0;0;0;0
Korrespondent;0;0;0;0;0;0;0;0;0;0
Gang;0;0;0;0;0;0;0;0;0;0
bestätigen;1;0;0;0;0;0;0;0;0;1
Bestätigung;0;0;0;0;0;0;0;0;0;1
Korrosion;0;1;0;0;0;0;0;0;0;0
ätzend;0;1;0;0;0;1;0;0;0;0
korrupt;0;1;0;0;0;0;0;0;0;0
korrumpieren;0;1;1;0;1;1;0;1;0;0
Korruption;0;1;0;0;1;0;0;0;0;0
Kors;0;0;0;0;0;0;0;1;0;0
Korsett;0;0;0;0;0;0;0;0;0;0
Kortex;0;0;0;0;0;0;0;0;0;0
kortikal;0;0;0;0;0;0;0;0;0;0
Korvette;0;0;0;0;0;0;0;0;0;0
Kosmetik;0;0;0;0;0;0;0;0;0;0
Kosmetika;0;0;0;0;0;0;0;0;0;0
kosmisch;0;0;0;0;0;0;0;0;0;0
Kosmologie;0;0;0;0;0;0;0;0;0;0
kosmopolitisch;1;0;0;0;0;0;0;0;0;1
Kosmos;0;0;0;0;0;0;0;0;0;0
kosten;0;0;0;0;0;0;0;0;0;0
teuer;0;0;0;0;0;0;0;0;0;0
Kostüm;0;0;0;0;0;0;0;0;0;0
gemütlich;1;0;0;0;0;0;0;0;0;0
Kinderbett;0;0;0;0;0;0;0;0;0;0
Hütte;0;0;0;0;0;0;0;0;0;0
Hütte;0;0;0;0;0;0;0;0;0;0
Baumwolle;0;0;0;0;0;0;0;0;0;0
Couch;0;0;0;0;0;0;0;1;0;0
Puma;0;0;0;0;0;0;0;0;0;0
Husten;0;1;0;0;1;0;0;0;0;0
Rat;1;0;0;1;0;0;0;0;0;1
Rat;1;0;0;0;0;0;0;0;0;1
Berater;0;1;1;0;0;1;0;0;0;1
Berater;1;0;0;0;0;0;0;0;0;1
zählen;1;0;0;0;0;0;0;0;0;1
Countdown;0;0;0;1;0;0;0;0;0;0
Antlitz;0;0;0;0;0;0;0;0;0;0
Zähler;0;0;0;0;0;0;0;0;0;0
entgegenwirken;0;0;0;0;0;0;0;0;0;0
Gegengewicht;0;0;0;0;0;0;0;0;0;0
Widerklage;0;0;0;0;0;0;0;0;0;0
Gegenstück;0;0;0;0;0;0;0;0;0;0
Gräfin;1;0;0;0;0;0;0;0;0;0
unzählige;0;0;0;0;0;0;0;0;0;0
Land;0;0;0;0;0;0;0;0;0;0
Landsmann;0;0;0;0;0;0;0;0;0;1
zählt;0;0;0;0;0;0;0;0;0;0
Kreis Kreis;0;0;0;0;0;0;0;0;0;1
Coup;0;0;1;0;0;0;0;0;1;0
Paar;0;0;0;0;0;0;0;0;0;0
gekoppelt;0;0;0;0;0;0;0;0;0;0
Coupon;0;0;0;0;0;0;0;0;0;0
Mut;1;0;0;0;0;0;0;0;0;0
mutig;1;0;0;0;0;1;0;0;0;0
Kurier;0;0;0;0;0;0;0;0;0;1
Kurse;0;0;0;0;0;0;0;0;0;0
Laufen;0;1;0;0;0;0;0;0;0;0
Gericht;0;0;1;1;0;1;0;0;0;0
höflich;1;0;0;0;0;0;0;0;0;0
Anstand;1;0;0;0;0;0;0;0;0;0
Gerichtsgebäude;0;0;0;0;0;0;0;0;0;0
Gerichte;0;0;0;0;0;0;0;0;0;0
Balz;1;0;0;1;0;0;1;0;0;1
Hof;0;0;0;0;0;0;0;0;0;0
Bucht;1;0;0;1;1;1;1;0;0;0
Bund;1;0;0;0;0;0;0;0;0;1
Startseite;0;0;0;0;0;0;0;0;0;1
bedeckt;0;0;0;0;0;0;0;0;0;0
Abdeckung;0;0;0;0;0;0;0;0;0;0
verdeckt;0;0;0;0;0;0;0;0;0;0
begehren;0;1;0;0;0;0;0;0;0;0
Kuh;0;0;0;0;0;0;0;0;0;0
Feigling;0;1;0;0;1;1;0;1;0;0
Feigheit;0;1;0;0;0;1;0;0;0;0
feige;0;1;0;0;0;1;0;0;0;0
Cowboy;0;0;0;0;0;0;0;0;0;0
Rindsleder;0;0;0;0;0;0;0;0;0;0
Haube;0;0;0;0;0;0;0;0;0;0
Mitarbeiter;0;0;0;0;0;0;0;0;0;0
schüchtern;0;0;0;0;0;1;0;0;0;0
Kojote;0;0;0;0;0;1;0;0;0;0
Krabbe;0;0;0;0;0;0;0;0;0;0
mürrisch;0;1;1;0;0;0;0;0;0;0
Riss;0;1;0;0;0;0;0;0;0;0
geknackt;0;1;1;0;0;1;0;0;0;0
Cracker;0;0;0;0;0;0;0;0;0;0
knacken;0;1;0;0;0;0;0;0;0;0
knistern;0;0;0;0;0;0;0;0;0;0
Wiege;1;0;0;1;0;0;1;0;0;1
Boot;1;0;0;0;0;0;0;0;0;0
Handwerker;1;0;0;0;0;0;0;0;0;0
schlau;0;0;0;0;0;0;0;0;0;0
Craig;0;0;0;0;0;0;0;0;0;0
Vollgestopft;0;0;0;0;0;0;0;0;0;0
Krampf;0;1;0;1;0;0;0;0;0;0
eng;0;1;0;0;0;0;0;0;0;0
Kran;0;0;0;0;0;0;0;0;0;0
Schädel;0;0;0;0;0;0;0;0;0;0
Kurbel Kurbel;0;1;0;0;0;0;0;0;0;0
verschroben;0;1;1;0;0;0;0;0;0;0
Mist;0;1;0;0;1;0;0;0;0;0
scheißt;0;0;0;1;0;0;0;0;0;0
Absturz;0;1;0;0;0;1;0;1;1;0
Kiste;0;0;0;0;0;0;0;0;0;0
Krater;0;0;0;0;0;0;0;0;0;0
sich sehnen;0;0;0;1;0;0;0;0;0;0
Verlangen;0;0;0;1;0;0;0;0;0;0
Langusten;0;0;0;0;0;0;0;0;0;0
kriechen;0;1;0;0;1;0;0;0;0;0
Buntstifte;0;0;0;0;0;0;0;0;0;0
Wahnsinn;0;0;0;0;0;0;0;0;0;0
verrückt;0;1;1;0;0;1;0;0;0;0
verrückt;0;1;1;0;0;1;0;1;0;0
Knarren;0;1;0;0;0;0;0;0;0;0
Creme;1;0;0;1;0;0;1;0;1;0
Milchkännchen;0;0;0;0;0;0;0;0;0;0
cremig;0;0;0;0;0;0;0;0;0;0
Falte;0;0;0;0;0;0;0;0;0;0
schaffen;1;0;0;0;0;0;1;0;0;0
Schaffung;0;0;0;0;0;0;0;0;0;0
kreativ;1;0;0;0;0;0;0;0;0;0
Schöpfer;0;0;0;0;0;0;0;0;0;0
Kreatur;0;1;0;0;1;1;0;0;0;0
Glaubwürdigkeit;1;0;0;0;0;0;0;0;0;1
Ausweis;1;0;0;0;0;0;0;0;0;1
Referenzen;0;0;0;0;0;0;0;0;0;0
Glaubwürdigkeit;1;0;0;0;0;0;0;0;0;1
glaubwürdig;1;0;0;0;0;0;0;0;0;1
Anerkennung;1;0;0;0;0;0;0;0;0;1
anrechenbar;1;0;0;0;0;0;0;0;0;1
gutgeschrieben;1;0;0;0;0;0;0;0;0;0
Gutschrift;0;0;0;0;0;0;0;0;0;0
Gläubiger;0;0;0;0;0;0;0;0;0;0
Glaube;0;0;0;0;0;0;0;0;0;0
Bach;0;0;0;0;0;0;0;0;0;0
kriechen;0;1;0;0;0;0;0;0;0;0
schleichend;0;0;0;1;0;0;0;0;0;0
Einäscherung;0;0;0;0;0;0;0;1;0;0
kreolisch;0;0;0;0;0;0;0;0;0;0
Crescendo;1;0;0;1;0;0;1;0;1;1
Halbmond;0;0;0;0;0;0;0;0;0;0
Spalt;0;0;0;0;0;0;0;0;0;0
Besatzung;0;0;0;0;0;0;0;0;0;1
Krippe;0;0;0;0;0;0;0;0;0;0
Kricket;0;0;0;0;0;0;0;0;0;0
Verbrechen;0;1;1;0;0;0;0;0;0;0
kriminell;0;1;1;0;1;1;0;0;0;0
Kriminalität;0;1;1;0;1;1;0;0;0;0
crimpen;0;0;0;0;0;0;0;0;0;0
Purpur;0;0;0;0;0;0;0;0;0;0
schaudern;0;1;0;0;1;1;0;1;0;0
Krüppel;0;1;0;0;0;1;0;1;0;0
verkrüppelt;0;1;0;0;0;0;0;1;0;0
Krise;0;1;0;0;0;0;0;0;0;0
knackig;0;1;0;0;0;0;0;0;0;1
Kriterium;0;0;0;0;0;0;0;0;0;0
Kritiker;0;1;0;0;0;0;0;0;0;0
Kritik;0;1;1;0;0;0;0;1;0;0
kritisieren;0;1;1;0;1;1;0;1;0;0
Kritik;1;0;0;0;0;0;0;0;0;0
Lebewesen;0;0;0;0;1;0;0;0;0;0
Krächzen;0;0;0;0;0;0;0;0;0;0
Topf;0;0;0;0;0;0;0;0;0;0
Geschirr;0;0;0;0;0;0;0;0;0;0
Krokodil;0;0;0;0;0;1;0;0;0;0
Hof;0;0;0;0;0;0;0;0;0;0
Gauner;0;1;0;0;0;0;0;0;0;0
Ernte;0;0;0;0;0;0;0;0;0;0
Krocket;0;0;0;0;0;0;0;0;0;0
Kreuz;0;1;1;0;0;1;0;1;0;0
Armbrust;0;0;0;0;0;0;0;0;0;0
gekreuzt;0;0;0;0;0;0;0;0;0;0
Kreuzung;0;0;0;0;0;0;0;0;0;0
Zwickel;0;0;0;0;0;0;0;0;0;0
hocken;0;0;0;0;0;1;0;0;0;0
geduckt;0;0;0;0;0;0;0;0;0;0
hocken;0;1;0;0;0;1;0;0;0;0
Croupier;0;0;0;0;0;0;0;0;0;0
Krähe;0;0;0;0;0;0;0;0;0;0
Menge;0;0;0;0;0;0;0;0;0;0
überlaufen;0;0;0;0;0;0;0;0;0;0
Krone;0;0;0;0;0;0;0;0;0;0
Krönung;1;0;0;1;0;0;1;0;1;1
zentral;1;0;0;0;0;0;0;0;0;1
Kreuz;0;1;0;0;0;0;0;0;0;0
Kruzifix;0;0;0;0;0;0;0;0;0;0
Kreuzigung;0;1;1;0;1;1;0;1;0;0
grob;0;1;0;0;1;0;0;0;0;0
grausam;0;1;1;0;1;1;0;1;0;0
grausam;0;1;1;0;0;1;0;0;0;0
Grausamkeit;0;1;1;0;1;1;0;1;0;0
Kreuzfahrt;0;0;0;0;0;0;0;0;0;0
Kreuzer;0;0;0;0;0;0;0;0;0;0
Krume;0;0;0;0;0;0;0;0;0;0
bröckelt;0;1;0;0;0;0;0;1;0;0
Knirschen;0;1;1;0;0;0;0;0;0;0
Kreuzzug;0;1;1;0;0;1;0;0;0;0
zerkleinern;0;0;0;0;0;0;0;0;0;0
zerquetscht;0;1;1;0;1;1;0;1;0;0
zermalmen;0;1;1;0;1;1;0;0;0;0
Kruste;0;0;0;0;0;0;0;0;0;0
knusprig;0;1;0;0;1;0;0;0;0;0
Krücke;0;0;0;0;0;0;0;0;0;0
Kern;0;0;0;0;0;0;0;0;0;0
Schrei;0;1;0;0;0;0;0;1;0;0
weinen weinen;0;1;0;0;0;0;0;1;0;0
Krypta;0;1;0;0;0;1;0;1;0;0
kryptisch;0;0;0;0;0;0;0;0;0;0
Kryptographie;0;0;0;0;0;0;0;0;0;0
Kristall;1;0;0;0;0;0;0;0;0;0
kristallin;0;0;0;0;0;0;0;0;0;0
Kristall;0;0;0;0;0;0;0;0;0;0
Jungtier;0;0;0;0;0;0;0;0;0;0
Würfel;0;0;0;0;0;0;0;0;0;1
Kabine;0;0;0;0;0;0;0;0;0;0
Hahnrei;0;1;0;0;1;0;0;0;0;0
Kuckuck;0;1;0;0;0;0;0;0;0;0
kuscheln;1;0;0;0;0;0;1;0;0;1
Stichwort;0;0;0;1;0;0;0;0;0;0
Manschette;0;0;0;0;0;0;0;0;0;0
Küche;0;0;0;0;0;0;0;0;0;0
kulinarisch;1;0;0;0;0;0;0;0;0;1
pflücken;0;1;0;0;0;0;0;0;0;0
gipfeln;0;0;0;0;0;0;0;0;0;0
Höhepunkt;1;0;0;0;0;0;0;0;0;0
Schuld;0;1;0;0;0;0;0;0;0;0
schuldhaft;0;1;0;0;0;0;0;0;0;0
Schuldiger;0;1;0;0;0;0;0;0;0;0
Kult;0;1;0;0;0;1;0;0;0;0
pflegen;1;0;0;1;0;0;0;0;0;1
kultiviert;1;0;0;0;0;0;0;0;0;0
Anbau;1;0;0;0;0;0;0;0;0;0
Kultur;1;0;0;0;0;0;0;0;0;0
Düker;0;0;0;0;0;0;0;0;0;0
schwerfällig;0;1;0;0;0;0;0;1;0;0
Kumulus;0;0;0;0;0;0;0;0;0;0
gerissen;1;1;0;0;0;0;0;0;0;0
Tasse;0;0;0;0;0;0;0;0;0;0
Schrank;0;0;0;0;0;0;0;0;0;0
Schröpfen;0;1;0;0;1;1;0;1;0;0
akt;0;1;1;0;1;1;0;0;0;0
heilbar;1;0;0;0;0;0;0;0;0;1
kuratieren;0;0;0;0;0;0;0;0;0;0
heilend;0;0;0;0;0;0;0;0;0;0
Kurator;0;0;0;0;0;0;0;0;0;0
Randstein;0;0;0;0;0;0;0;0;0;0
Quark;0;0;0;0;0;0;0;0;0;0
Ausgangssperre;0;0;0;0;0;0;0;0;0;0
Neugier;1;0;0;1;0;0;0;0;1;0
kräuseln;1;0;0;0;0;0;0;0;0;0
Eisstockschießen;0;0;0;0;0;0;0;0;0;0
Währung;0;0;0;0;0;0;0;0;0;0
aktuell;0;0;0;0;0;0;0;0;0;0
Lehrplan;0;0;0;0;0;0;0;0;0;0
Curry;0;0;0;0;0;0;0;0;0;0
Fluch;0;1;1;0;1;1;0;1;0;0
verflucht;0;1;1;0;0;1;0;1;0;0
fluchen;0;1;1;0;1;0;0;0;0;0
flüchtig;0;1;0;0;0;0;0;0;0;0
knapp;0;0;0;0;0;0;0;0;0;0
beschneiden;0;0;0;0;0;0;0;0;0;0
Kürzung;0;0;0;0;0;0;0;0;0;0
Vorhang Vorhang;0;0;0;0;0;0;0;0;0;0
Krümmung;0;0;0;0;0;0;0;0;0;0
Kurve;0;0;0;0;0;0;0;0;0;0
gebogen;0;0;0;0;0;0;0;0;0;0
krummlinig;0;0;0;0;0;0;0;0;0;0
Kissen;1;0;0;0;0;0;0;0;0;0
Höcker;0;0;0;0;0;0;0;0;0;0
verflucht;0;0;1;0;0;0;0;0;0;0
Verwalter;0;0;0;0;0;0;0;0;0;1
Sorgerecht;0;0;0;0;0;0;0;0;0;1
Brauch;0;0;0;0;0;0;0;0;0;0
üblich;0;0;0;0;0;0;0;0;0;0
Kunde;1;0;0;0;0;0;0;0;0;0
schneiden;0;0;0;0;0;0;0;0;0;0
Haut-;0;0;0;0;0;0;0;0;0;0
niedlich;1;0;0;0;0;0;0;0;0;0
Kutikula;0;0;0;0;0;0;0;0;0;0
Besteck;0;0;0;0;0;0;0;0;0;0
Cutter;0;1;0;0;0;1;0;0;0;0
Schneider;1;0;0;0;0;0;0;0;0;0
Halsabschneider;0;1;1;0;0;1;0;0;0;0
Schneiden;0;1;1;0;1;1;0;1;0;0
Stecklinge;0;0;0;0;0;0;0;0;0;0
cwt;0;0;0;0;0;0;0;0;0;0
Zyanid;0;1;0;0;0;1;0;0;0;0
Kreislauf;0;0;0;0;0;0;0;0;0;0
zyklisch;0;0;0;0;0;0;0;0;0;0
Radfahrer;0;0;0;0;0;0;0;0;0;0
Zyklon;0;1;0;0;0;1;0;0;1;0
Zylinder;0;0;0;0;0;0;0;0;0;0
zylindrisch;0;0;0;0;0;0;0;0;0;0
Becken;0;0;0;0;0;0;0;0;0;0
Zyniker;0;0;0;0;0;0;0;0;0;0
Zyste;0;1;0;0;0;1;0;1;0;0
zystisch;0;0;0;0;1;0;0;0;0;0
Cytomegalovirus;0;1;0;0;0;0;0;1;0;0
Zytoplasma;0;0;0;0;0;0;0;0;0;0
Zar;0;0;0;0;0;0;0;0;0;0
tupfen;0;0;0;0;0;0;0;0;0;0
basteln;0;0;0;0;0;0;0;0;0;0
Dilettantismus;0;1;1;0;1;0;0;0;0;0
Papa;0;0;0;0;0;0;0;0;0;0
Papa;0;0;0;0;0;0;0;0;0;0
Dämon;0;1;1;0;1;1;0;1;1;0
bekloppt;0;1;0;0;1;0;0;0;0;0
Dolch;0;1;0;0;0;1;0;0;0;0
Täglich;0;0;0;1;0;0;0;0;0;0
zierlich;0;0;0;0;0;0;0;0;0;0
Molkerei;0;0;0;0;0;0;0;0;0;0
dak;0;0;0;0;0;0;0;0;0;0
Tal;0;0;0;0;0;0;0;0;0;0
Damm;0;0;0;0;0;0;0;0;0;0
Schaden;0;1;1;0;1;0;0;1;0;0
Schäden;0;1;0;0;0;0;0;1;0;0
Dame;1;0;1;0;1;0;0;0;0;1
verdammt;0;1;1;0;1;0;0;0;0;0
Verdammnis;0;1;1;0;0;1;0;1;0;0
verdammt;0;1;0;0;0;0;0;0;0;0
Feuchte;0;0;0;0;0;0;0;0;0;0
gedämpft;0;0;0;0;0;0;0;0;0;0
Dämpfer;0;1;0;0;0;0;0;0;0;0
Maid;0;0;0;0;0;0;0;0;0;0
tanzen;1;0;0;0;0;0;1;0;0;1
Tänzer;0;0;0;0;0;0;0;0;0;0
Schuppen;0;1;0;0;0;0;0;0;0;0
Dandy;0;1;0;0;1;0;0;0;0;0
Achtung;0;1;0;0;0;1;0;1;0;0
gefährlich;0;1;0;0;0;1;0;0;0;0
